4.9747 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
116.4182 	DATA 	Keypress: right
116.4307 	EXP 	fixation: autoDraw = False
116.4307 	EXP 	grating: autoDraw = False
116.4310 	EXP 	window1: recordFrameIntervals = False
116.4476 	EXP 	window1: recordFrameIntervals = False
117.4199 	EXP 	fixation: autoDraw = True
118.4309 	EXP 	fixation: autoDraw = False
118.4309 	EXP 	grating: autoDraw = True
118.4309 	EXP 	grating: tex = 'sin'
118.7306 	EXP 	grating: autoDraw = False
118.8843 	DATA 	Keypress: left
118.8974 	EXP 	fixation: autoDraw = False
118.8974 	EXP 	grating: autoDraw = False
118.8977 	EXP 	window1: recordFrameIntervals = False
118.9142 	EXP 	window1: recordFrameIntervals = False
119.8854 	EXP 	fixation: autoDraw = True
120.8974 	EXP 	fixation: autoDraw = False
120.8974 	EXP 	grating: autoDraw = True
120.8974 	EXP 	grating: tex = 'sin'
121.1972 	EXP 	grating: autoDraw = False
121.4337 	DATA 	Keypress: right
121.4471 	EXP 	fixation: autoDraw = False
121.4471 	EXP 	grating: autoDraw = False
121.4474 	EXP 	window1: recordFrameIntervals = False
121.4641 	EXP 	window1: recordFrameIntervals = False
122.4360 	EXP 	fixation: autoDraw = True
123.4473 	EXP 	fixation: autoDraw = False
123.4473 	EXP 	grating: autoDraw = True
123.4473 	EXP 	grating: tex = 'sin'
123.7476 	EXP 	grating: autoDraw = False
123.8838 	DATA 	Keypress: right
123.8970 	EXP 	fixation: autoDraw = False
123.8970 	EXP 	grating: autoDraw = False
123.8973 	EXP 	window1: recordFrameIntervals = False
123.9140 	EXP 	window1: recordFrameIntervals = False
124.8878 	EXP 	fixation: autoDraw = True
125.8973 	EXP 	fixation: autoDraw = False
125.8973 	EXP 	grating: autoDraw = True
125.8973 	EXP 	grating: tex = 'sin'
126.1972 	EXP 	grating: autoDraw = False
126.5509 	DATA 	Keypress: right
126.5636 	EXP 	fixation: autoDraw = False
126.5636 	EXP 	grating: autoDraw = False
126.5639 	EXP 	window1: recordFrameIntervals = False
126.5806 	EXP 	window1: recordFrameIntervals = False
127.5533 	EXP 	fixation: autoDraw = True
128.5638 	EXP 	fixation: autoDraw = False
128.5638 	EXP 	grating: autoDraw = True
128.5638 	EXP 	grating: tex = 'sin'
128.8636 	EXP 	grating: autoDraw = False
128.9344 	DATA 	Keypress: left
128.9469 	EXP 	fixation: autoDraw = False
128.9469 	EXP 	grating: autoDraw = False
128.9472 	EXP 	window1: recordFrameIntervals = False
128.9639 	EXP 	window1: recordFrameIntervals = False
129.9355 	EXP 	fixation: autoDraw = True
130.9471 	EXP 	fixation: autoDraw = False
130.9471 	EXP 	grating: autoDraw = True
130.9471 	EXP 	grating: tex = 'sin'
131.2468 	EXP 	grating: autoDraw = False
131.3503 	DATA 	Keypress: left
131.3636 	EXP 	fixation: autoDraw = False
131.3636 	EXP 	grating: autoDraw = False
131.3638 	EXP 	window1: recordFrameIntervals = False
131.3803 	EXP 	window1: recordFrameIntervals = False
132.3531 	EXP 	fixation: autoDraw = True
133.3635 	EXP 	fixation: autoDraw = False
133.3635 	EXP 	grating: autoDraw = True
133.3635 	EXP 	grating: tex = 'sin'
133.6633 	EXP 	grating: autoDraw = False
133.8670 	DATA 	Keypress: right
133.8803 	EXP 	fixation: autoDraw = False
133.8803 	EXP 	grating: autoDraw = False
133.8806 	EXP 	window1: recordFrameIntervals = False
133.8970 	EXP 	window1: recordFrameIntervals = False
134.8689 	EXP 	fixation: autoDraw = True
135.8801 	EXP 	fixation: autoDraw = False
135.8801 	EXP 	grating: autoDraw = True
